Date,close,ret,realized_vol,vol_pctile,recent_high_20,recent_low_20,compressed
2025-08-27,641.191284,0.002279,0.121089,0.380952,639.882446,616.490723,False
2025-08-28,643.461975,0.003541,0.120074,0.369048,641.191284,616.490723,False
2025-08-29,639.624573,-0.005964,0.104322,0.25,643.461975,616.490723,False
2025-09-02,634.884827,-0.00741,0.096571,0.138889,643.461975,622.688232,True
2025-09-03,638.325562,0.005419,0.095381,0.130952,643.461975,622.688232,True
2025-09-04,643.660339,0.008357,0.096032,0.138889,643.461975,626.932251,True
2025-09-05,641.796143,-0.002896,0.096912,0.150794,643.660339,626.932251,True
2025-09-08,643.372803,0.002457,0.093889,0.119048,643.660339,630.204529,True
2025-09-09,644.860168,0.002312,0.093365,0.119048,643.660339,630.204529,True
2025-09-10,646.724304,0.002891,0.08671,0.087302,644.860168,630.204529,True
2025-09-11,652.098816,0.00831,0.090367,0.123016,646.724304,630.204529,True
2025-09-12,651.880554,-0.000335,0.090437,0.126984,652.098816,630.204529,True
2025-09-15,655.351135,0.005324,0.090804,0.130952,652.098816,630.204529,True
2025-09-16,654.448853,-0.001377,0.091163,0.134921,655.351135,630.204529,True
2025-09-17,653.635742,-0.001242,0.088233,0.099206,655.351135,630.204529,True
2025-09-18,656.689758,0.004672,0.087478,0.095238,655.351135,630.204529,True
2025-09-19,659.942322,0.004953,0.085238,0.083333,656.689758,630.204529,True
2025-09-22,663.064514,0.004731,0.07081,0.039683,659.942322,634.884827,True
2025-09-23,659.455139,-0.005443,0.072104,0.047619,663.064514,634.884827,True
2025-09-24,657.356995,-0.003182,0.073515,0.051587,663.064514,634.884827,True
2025-09-25,654.32428,-0.004613,0.076399,0.063492,663.064514,634.884827,True
2025-09-26,658.072998,0.005729,0.077738,0.075397,663.064514,634.884827,True
2025-09-29,659.922424,0.00281,0.073219,0.051587,663.064514,634.884827,True
2025-09-30,662.408264,0.003767,0.065358,0.015873,663.064514,634.884827,True
2025-10-01,664.665466,0.003408,0.064399,0.011905,663.064514,638.325562,True
2025-10-02,665.430969,0.001152,0.059936,0.003968,664.665466,641.796143,True
2025-10-03,665.421143,-1.5e-05,0.05786,0.003968,665.430969,641.796143,True
2025-10-06,667.807495,0.003586,0.058164,0.007937,665.430969,643.372803,True
2025-10-07,665.331604,-0.003707,0.061395,0.019841,667.807495,644.860168,True
2025-10-08,669.299011,0.005963,0.063213,0.02381,667.807495,646.724304,True
2025-10-09,667.360046,-0.002897,0.060171,0.015873,669.299011,651.880554,True
2025-10-10,649.322754,-0.027028,0.116875,0.43254,669.299011,651.880554,False
2025-10-13,659.286011,0.015344,0.128004,0.519841,669.299011,649.322754,False
2025-10-14,658.480591,-0.001222,0.127978,0.515873,669.299011,649.322754,False
2025-10-15,661.403992,0.00444,0.128635,0.519841,669.299011,649.322754,False
2025-10-16,656.899658,-0.00681,0.130287,0.527778,669.299011,649.322754,False
2025-10-17,660.628418,0.005676,0.130673,0.531746,669.299011,649.322754,False
2025-10-20,667.499268,0.0104,0.13483,0.559524,669.299011,649.322754,False
2025-10-21,667.489258,-1.5e-05,0.133093,0.531746,669.299011,649.322754,False
2025-10-22,664.019104,-0.005199,0.13405,0.539683,669.299011,649.322754,False
2025-10-23,667.956665,0.00593,0.1339,0.531746,669.299011,649.322754,False
2025-10-24,673.415588,0.008173,0.135302,0.559524,669.299011,649.322754,False
2025-10-27,681.360352,0.011798,0.140397,0.603175,673.415588,649.322754,False
2025-10-28,683.170044,0.002656,0.140228,0.599206,681.360352,649.322754,False
2025-10-29,683.498169,0.00048,0.140108,0.59127,683.170044,649.322754,False
2025-10-30,675.980957,-0.010998,0.146907,0.690476,683.498169,649.322754,False
2025-10-31,678.198364,0.00328,0.147122,0.690476,683.498169,649.322754,False
2025-11-03,679.47113,0.001877,0.146847,0.68254,683.498169,649.322754,False
2025-11-04,671.416992,-0.011854,0.152961,0.706349,683.498169,649.322754,False
2025-11-05,673.743713,0.003465,0.152032,0.698413,683.498169,649.322754,False
2025-11-06,666.514893,-0.010729,0.156737,0.714286,683.498169,649.322754,False
2025-11-07,667.171082,0.000985,0.119928,0.384921,683.498169,649.322754,False
2025-11-10,677.581909,0.015604,0.120333,0.392857,683.498169,656.899658,False
2025-11-11,679.132996,0.002289,0.119964,0.388889,683.498169,656.899658,False
2025-11-12,679.510864,0.000556,0.119524,0.380952,683.498169,656.899658,False
2025-11-13,668.235046,-0.016594,0.13273,0.492063,683.498169,656.899658,False
2025-11-14,668.125732,-0.000164,0.13155,0.492063,683.498169,660.628418,False
2025-11-17,661.901123,-0.009317,0.130677,0.492063,683.498169,664.019104,False
2025-11-18,656.342834,-0.008397,0.133711,0.511905,683.498169,661.901123,False
2025-11-19,658.878418,0.003863,0.133633,0.511905,683.498169,656.342834,False
2025-11-20,648.835571,-0.015242,0.141338,0.599206,683.498169,656.342834,False
2025-11-21,655.298767,0.009961,0.143079,0.630952,683.498169,648.835571,False
2025-11-24,664.943787,0.014719,0.146955,0.674603,683.498169,648.835571,False
2025-11-25,671.198181,0.009406,0.151183,0.686508,683.498169,648.835571,False
2025-11-26,675.831848,0.006904,0.153626,0.702381,683.498169,648.835571,False
2025-11-28,679.520813,0.005458,0.149797,0.678571,679.510864,648.835571,False
2025-12-01,676.418518,-0.004565,0.150317,0.678571,679.520813,648.835571,False
2025-12-02,677.671387,0.001852,0.150313,0.674603,679.520813,648.835571,False
2025-12-03,680.018005,0.003463,0.144119,0.611111,679.520813,648.835571,False
2025-12-04,680.515137,0.000731,0.143743,0.607143,680.018005,648.835571,False
2025-12-05,681.8078,0.0019,0.137466,0.547619,680.515137,648.835571,False
2025-12-08,679.75946,-0.003004,0.138264,0.547619,681.8078,648.835571,False
2025-12-09,679.172729,-0.000863,0.12705,0.43254,681.8078,648.835571,False
2025-12-10,683.677185,0.006632,0.128942,0.460317,681.8078,648.835571,False
2025-12-11,685.268066,0.002327,0.12913,0.460317,683.677185,648.835571,False
2025-12-12,677.900024,-0.010752,0.120261,0.369048,685.268066,648.835571,False
2025-12-15,676.875854,-0.001511,0.120491,0.376984,685.268066,648.835571,False
2025-12-16,675.026428,-0.002732,0.115407,0.321429,685.268066,648.835571,False
2025-12-17,667.598694,-0.011004,0.118552,0.34127,685.268066,648.835571,False
2025-12-18,672.639954,0.007551,0.120491,0.373016,685.268066,648.835571,False
2025-12-19,678.736389,0.009063,0.107005,0.27381,685.268066,648.835571,False
2025-12-22,682.964844,0.00623,0.104234,0.257937,685.268066,655.298767,False
2025-12-23,686.086304,0.00457,0.093611,0.150794,685.268066,664.943787,True
2025-12-24,688.499695,0.003518,0.089319,0.126984,686.086304,667.598694,True
2025-12-26,688.429871,-0.000101,0.086907,0.119048,688.499695,667.598694,True
2025-12-29,685.976562,-0.003564,0.086583,0.111111,688.499695,667.598694,True
2025-12-30,685.138916,-0.001221,0.08479,0.103175,688.499695,667.598694,True
2025-12-31,680.062744,-0.007409,0.089307,0.138889,688.499695,667.598694,True
2026-01-02,681.309326,0.001833,0.0887,0.138889,688.499695,667.598694,True
2026-01-05,685.846924,0.00666,0.091698,0.170635,688.499695,667.598694,True
2026-01-06,689.925781,0.005947,0.093676,0.18254,688.499695,667.598694,True
2026-01-07,687.701904,-0.003223,0.093791,0.186508,689.925781,667.598694,True
2026-01-08,687.63208,-0.000102,0.093673,0.18254,689.925781,667.598694,True
2026-01-09,692.179626,0.006613,0.093657,0.18254,689.925781,667.598694,True
2026-01-12,693.266663,0.00157,0.093514,0.178571,692.179626,667.598694,True
2026-01-13,691.880493,-0.001999,0.084114,0.103175,693.266663,667.598694,True
2026-01-14,688.479736,-0.004915,0.08632,0.119048,693.266663,667.598694,True
2026-01-15,690.354614,0.002723,0.085473,0.115079,693.266663,667.598694,True
2026-01-16,689.776184,-0.000838,0.073033,0.075397,693.266663,667.598694,True
2026-01-20,675.734558,-0.020357,0.103804,0.321429,693.266663,672.639954,False
2026-01-21,683.533264,0.011541,0.10692,0.349206,693.266663,675.734558,False
2026-01-22,687.103516,0.005223,0.106247,0.337302,693.266663,675.734558,False
2026-01-23,687.352783,0.000363,0.105059,0.337302,693.266663,675.734558,False
2026-01-26,690.843262,0.005078,0.105873,0.34127,693.266663,675.734558,False
2026-01-27,693.595764,0.003984,0.106713,0.361111,693.266663,675.734558,False
2026-01-28,693.52594,-0.000101,0.105712,0.34127,693.595764,675.734558,False
2026-01-29,692.149719,-0.001984,0.105918,0.349206,693.595764,675.734558,False
2026-01-30,690.085327,-0.002983,0.102632,0.309524,693.595764,675.734558,False
2026-02-02,693.515991,0.004971,0.10367,0.325397,693.595764,675.734558,False
2026-02-03,687.652039,-0.008455,0.106396,0.365079,693.595764,675.734558,False
2026-02-04,684.321106,-0.004844,0.105493,0.349206,693.595764,675.734558,False
2026-02-05,675.774475,-0.012489,0.113612,0.43254,693.595764,675.734558,False
2026-02-06,688.739014,0.019185,0.13408,0.626984,693.595764,675.734558,False
2026-02-09,692.059998,0.004822,0.133075,0.599206,693.595764,675.734558,False
2026-02-10,690.234924,-0.002637,0.133265,0.607143,693.595764,675.734558,False
2026-02-11,690.075439,-0.000231,0.133093,0.603175,693.595764,675.734558,False
2026-02-12,679.414551,-0.015449,0.143032,0.670635,693.595764,675.734558,False
2026-02-13,679.893188,0.000704,0.142584,0.666667,693.595764,675.734558,False
2026-02-17,680.990173,0.001613,0.142824,0.666667,693.595764,675.734558,False
2026-02-18,684.420837,0.005038,0.123357,0.52381,693.595764,675.734558,False
2026-02-19,682.615723,-0.002637,0.116878,0.436508,693.595764,675.774475,False
2026-02-20,687.552307,0.007232,0.118287,0.448413,693.595764,675.774475,False
2026-02-23,680.531494,-0.010211,0.123755,0.52381,693.595764,675.774475,False
2026-02-24,685.477905,0.007268,0.125292,0.52381,693.595764,675.774475,False
2026-02-25,691.262207,0.008438,0.128302,0.539683,693.595764,675.774475,False
2026-02-26,687.422607,-0.005554,0.129734,0.555556,693.52594,675.774475,False
2026-02-27,684.121643,-0.004802,0.13057,0.563492,693.515991,675.774475,False
2026-03-02,684.51062,0.000569,0.130301,0.555556,693.515991,675.774475,False
2026-03-03,678.477112,-0.008814,0.131979,0.575397,693.515991,675.774475,False
2026-03-04,683.263977,0.007055,0.13194,0.575397,692.059998,675.774475,False
2026-03-05,679.454407,-0.005576,0.1323,0.583333,692.059998,675.774475,False
2026-03-06,670.548706,-0.013107,0.13307,0.59127,692.059998,675.774475,False
2026-03-09,676.422729,0.00876,0.116934,0.420635,692.059998,670.548706,False
2026-03-10,675.335632,-0.001607,0.11499,0.40873,692.059998,670.548706,False
2026-03-11,674.487976,-0.001255,0.114865,0.40873,691.262207,670.548706,False
2026-03-12,664.245911,-0.015185,0.125123,0.519841,691.262207,670.548706,False
2026-03-13,660.486206,-0.00566,0.115493,0.420635,691.262207,664.245911,False
2026-03-16,667.207886,0.010177,0.122453,0.515873,691.262207,660.486206,False
2026-03-17,668.963013,0.002631,0.122784,0.519841,691.262207,660.486206,False
2026-03-18,659.62854,-0.013954,0.129028,0.56746,691.262207,660.486206,False
2026-03-19,658.002991,-0.002464,0.129014,0.56746,691.262207,659.62854,False
2026-03-20,648.570007,-0.014336,0.131669,0.611111,691.262207,658.002991,False
2026-03-23,655.380005,0.0105,0.136802,0.686508,691.262207,648.570007,False
2026-03-24,653.179993,-0.003357,0.132546,0.626984,691.262207,648.570007,False
2026-03-25,656.820007,0.005573,0.129806,0.583333,691.262207,648.570007,False
2026-03-26,645.090027,-0.017859,0.140526,0.718254,687.422607,648.570007,False
2026-03-27,634.090027,-0.017052,0.148929,0.765873,684.51062,645.090027,False
2026-03-30,631.969971,-0.003343,0.14807,0.765873,684.51062,634.090027,False
2026-03-31,650.340027,0.029068,0.187382,0.865079,683.263977,631.969971,False
2026-04-01,655.23999,0.007534,0.187699,0.869048,683.263977,631.969971,False
2026-04-02,655.830017,0.0009,0.187482,0.869048,679.454407,631.969971,False
2026-04-06,658.929993,0.004727,0.183742,0.865079,676.422729,631.969971,False
2026-04-07,659.219971,0.00044,0.180337,0.865079,676.422729,631.969971,False
2026-04-08,676.01001,0.02547,0.203679,0.896825,675.335632,631.969971,False
2026-04-09,679.909973,0.005769,0.204571,0.900794,676.01001,631.969971,False
2026-04-10,679.460022,-0.000662,0.196144,0.884921,679.909973,631.969971,False
2026-04-13,686.099976,0.009772,0.196629,0.892857,679.909973,631.969971,False
2026-04-14,694.460022,0.012185,0.197865,0.900794,686.099976,631.969971,False
2026-04-15,699.940002,0.007891,0.198938,0.904762,694.460022,631.969971,False
2026-04-16,701.659973,0.002457,0.189412,0.884921,699.940002,631.969971,False
2026-04-17,710.140015,0.012086,0.190718,0.888889,701.659973,631.969971,False
2026-04-20,708.719971,-0.002,0.179798,0.865079,710.140015,631.969971,False
2026-04-21,704.080017,-0.006547,0.182422,0.873016,710.140015,631.969971,False
2026-04-22,711.210022,0.010127,0.181828,0.873016,710.140015,631.969971,False
2026-04-23,708.450012,-0.003881,0.184052,0.884921,711.210022,631.969971,False
2026-04-24,713.940002,0.007749,0.165495,0.84127,711.210022,631.969971,False
2026-04-27,715.169983,0.001723,0.144155,0.75,713.940002,631.969971,False
2026-04-28,711.690002,-0.004866,0.145568,0.753968,715.169983,631.969971,False
2026-04-29,711.580017,-0.000155,0.118601,0.448413,715.169983,650.340027,False
2026-04-30,718.659973,0.00995,0.119716,0.456349,715.169983,655.23999,False
2026-05-01,720.650024,0.002769,0.11912,0.452381,718.659973,655.830017,False
2026-05-04,718.01001,-0.003663,0.122808,0.535714,720.650024,658.929993,False
2026-05-05,723.77002,0.008022,0.122571,0.531746,720.650024,659.219971,False
2026-05-06,733.830017,0.013899,0.101681,0.297619,723.77002,676.01001,False
2026-05-07,731.580017,-0.003066,0.104589,0.337302,733.830017,679.460022,False
2026-05-08,737.619995,0.008256,0.104458,0.337302,733.830017,679.460022,False
2026-05-11,739.299988,0.002278,0.102462,0.305556,737.619995,686.099976,False
2026-05-12,738.179993,-0.001515,0.099005,0.246032,739.299988,694.460022,False
2026-05-13,742.309998,0.005595,0.097853,0.238095,739.299988,699.940002,False
2026-05-14,748.169983,0.007894,0.099373,0.257937,742.309998,701.659973,False
2026-05-15,739.169983,-0.012029,0.107421,0.416667,748.169983,704.080017,False
2026-05-18,738.650024,-0.000703,0.106874,0.400794,748.169983,704.080017,False
2026-05-19,733.72998,-0.006661,0.106996,0.40873,748.169983,704.080017,False
2026-05-20,741.25,0.010249,0.107119,0.420635,748.169983,708.450012,False
2026-05-21,742.719971,0.001983,0.104779,0.361111,748.169983,708.450012,False
2026-05-22,745.640015,0.003932,0.103049,0.325397,748.169983,711.580017,False
2026-05-26,750.590027,0.006639,0.104221,0.349206,748.169983,711.580017,False
2026-05-27,750.460022,-0.000173,0.101144,0.305556,750.590027,711.580017,False
2026-05-28,754.599976,0.005517,0.101043,0.305556,750.590027,711.580017,False
2026-05-29,756.47998,0.002491,0.097608,0.238095,754.599976,718.01001,False
2026-06-01,758.539978,0.002723,0.097607,0.238095,756.47998,718.01001,False
2026-06-02,759.570007,0.001358,0.094936,0.222222,758.539978,718.01001,False
2026-06-03,754.23999,-0.007017,0.09896,0.261905,759.570007,723.77002,False
2026-06-04,757.090027,0.003779,0.088945,0.15873,759.570007,731.580017,True
2026-06-05,737.549988,-0.025809,0.131261,0.714286,759.570007,731.580017,False
2026-06-08,739.219971,0.002264,0.128217,0.65873,759.570007,733.72998,False
2026-06-09,737.049988,-0.002936,0.128399,0.666667,759.570007,733.72998,False
2026-06-10,725.429993,-0.015766,0.1399,0.821429,759.570007,733.72998,False
2026-06-11,737.76001,0.016997,0.152165,0.916667,759.570007,725.429993,False
2026-06-12,741.75,0.005408,0.150646,0.904762,759.570007,725.429993,False
